t;x;y;z;a
1940449345692945;1.7487793;0.5051575;9.640366;3
1940449350636792;1.7631378;0.4907837;9.73494;3
1940449355580640;1.7212372;0.475235;9.718185;3
1940449360524488;1.6841278;0.480011;9.722961;3
1940449365468335;1.6470184;0.46444702;9.797195;3
1940449370412183;1.6326599;0.43572998;9.788803;3
1940449375356030;1.6542053;0.46206665;9.787613;3
1940449380269361;1.6709595;0.475235;9.760086;3
1940449385213208;1.6972961;0.48361206;9.749298;3
1940449390157056;1.7116699;0.5159302;9.695435;3
1940449395100904;1.7487793;0.51234436;9.642761;3
1940449400044751;1.7104645;0.50157166;9.646347;3
1940449404988599;1.6434326;0.4788208;9.649948;3
1940449409932447;1.6386414;0.48240662;9.612839;3
1940449414845777;1.7368011;0.48240662;9.579315;3
1940449419789624;1.8313751;0.5219116;9.582901;3
1940449424733472;1.8134155;0.5362854;9.545792;3
1940449429677320;1.7380066;0.5087433;9.575729;3
1940449434621167;1.656601;0.48840332;9.628403;3
1940449439565015;1.5955505;0.4465027;9.63678;3
1940449444508863;1.5656128;0.38783264;9.570938;3
1940449449452710;1.5871735;0.40460205;9.554184;3
1940449454396558;1.6338501;0.4177704;9.580521;3
1940449459340405;1.6757507;0.4500885;9.585297;3
1940449464253736;1.704483;0.4572754;9.631989;3
1940449469197583;1.7164459;0.4381256;9.621216;3
1940449474141431;1.7284241;0.45248413;9.578125;3
1940449479085279;1.7296143;0.48121643;9.570938;3
1940449484029126;1.7068787;0.4788208;9.641571;3
1940449488972974;1.6458282;0.4608612;9.651138;3
1940449493916822;1.6422272;0.4465027;9.67868;3
1940449498860669;1.6613922;0.45606995;9.708603;3
1940449503773999;1.6434326;0.46923828;9.7265625;3
1940449508717847;1.6434326;0.475235;9.694244;3
1940449513661695;1.6793365;0.47044373;9.681076;3
1940449518605542;1.6673737;0.5087433;9.69783;3
1940449523549390;1.6589966;0.5219116;9.671494;3
1940449528493238;1.6661682;0.5302887;9.629593;3
1940449533437085;1.7008972;0.559021;9.594879;3
1940449538380933;1.7296143;0.5470581;9.578125;3
1940449543324780;1.7308197;0.5326843;9.53862;3
1940449548268628;1.7164459;0.5290985;9.564957;3
1940449553212476;1.7404022;0.5159302;9.572128;3
1940449558125806;1.6985016;0.5338898;9.524246;3
1940449563069654;1.6733551;0.52072144;9.5134735;3
1940449568013501;1.7104645;0.5003662;9.532623;3
1940449572957349;1.7152557;0.52430725;9.554184;3
1940449577901197;1.6901093;0.52311707;9.574524;3
1940449582845044;1.6853333;0.5219116;9.610443;3
1940449587788892;1.6841278;0.52430725;9.621216;3
1940449592732739;1.7236328;0.52311707;9.602066;3
1940449597646070;1.7116699;0.49198914;9.610443;3
1940449602589917;1.6949005;0.51353455;9.630798;3
1940449607533765;1.7380066;0.5087433;9.645157;3
1940449612477613;1.7152557;0.53149414;9.65593;3
1940449617421460;1.7092743;0.503952;9.664307;3
1940449622365308;1.7068787;0.4967804;9.666702;3
1940449627309155;1.6745605;0.5051575;9.591293;3
1940449632253003;1.6542053;0.49917603;9.585297;3
1940449637196851;1.6123047;0.48840332;9.586502;3
1940449642110181;1.6003265;0.48480225;9.563751;3
1940449647054029;1.5931549;0.48121643;9.573334;3
1940449651997876;1.5787811;0.47761536;9.556564;3
1940449656941724;1.6075134;0.4608612;9.503906;3
1940449661885572;1.6158905;0.5051575;9.503906;3
1940449666829419;1.6134949;0.52072144;9.452423;3
1940449671773267;1.6470184;0.54945374;9.502701;3
1940449676717114;1.6577911;0.55184937;9.503906;3
1940449681630445;1.6913147;0.56022644;9.544601;3
1940449686574292;1.7056732;0.54345703;9.5529785;3
1940449691518140;1.6745605;0.58177185;9.521851;3
1940449696461988;1.6553955;0.56022644;9.526642;3
1940449701405835;1.6721649;0.55184937;9.463196;3
1940449706349683;1.7320099;0.5901489;9.423691;3
1940449711293530;1.7822876;0.6081085;9.456009;3
1940449716237378;1.7559509;0.6236725;9.482346;3
1940449721181226;1.7152557;0.6021271;9.472778;3
1940449726125073;1.720047;0.58296204;9.453629;3
1940449731068921;1.6685638;0.5470581;9.491928;3
1940449736012769;1.6494141;0.5374756;9.493118;3
1940449740956616;1.6051178;0.52311707;9.543411;3
1940449745900464;1.5644226;0.54585266;9.554184;3
1940449750813794;1.617096;0.49317932;9.597275;3
1940449755757642;1.6482239;0.49198914;9.580521;3
1940449760701489;1.6889191;0.5003662;9.545792;3
1940449765645337;1.6985016;0.4716339;9.584106;3
1940449770589185;1.6470184;0.48480225;9.641571;3
1940449775502515;1.6230774;0.46325684;9.620026;3
1940449780446363;1.5799866;0.45967102;9.581711;3
1940449785390210;1.577591;0.42973328;9.49791;3
1940449790334058;1.601532;0.4465027;9.495514;3
1940449795277905;1.6482239;0.46325684;9.566147;3
1940449800221753;1.6625824;0.5087433;9.430878;3
1940449805165601;1.6781464;0.5326843;9.348282;3
1940449810109448;1.6865234;0.5183258;9.611633;3
1940449815022779;1.7080688;0.5410614;9.649948;3
1940449819966626;1.7104645;0.54585266;9.354263;3
1940449824910474;1.7128601;0.5374756;9.422501;3
1940449829854322;1.7140656;0.5183258;9.791199;3
1940449834798169;1.6673737;0.5075531;9.73613;3
1940449839742017;1.6134949;0.52789307;9.433273;3
1940449844685864;1.6362457;0.5362854;9.537415;3
1940449849629712;1.6542053;0.5362854;9.8893585;3
1940449854573560;1.6326599;0.52430725;9.708603;3
1940449859486890;1.6123047;0.53868103;9.336304;3
1940449864430738;1.625473;0.5398712;9.481155;3
1940449869374585;1.6398315;0.55184937;9.870209;3
1940449874318433;1.6601868;0.58296204;9.573334;3
1940449879262280;1.680542;0.5793762;9.217789;3
1940449884206128;1.6685638;0.54585266;9.467987;3
1940449889149976;1.6446228;0.57218933;9.725357;3
1940449894093823;1.6158905;0.57218933;9.445236;3
1940449899007154;1.6182861;0.54345703;9.502701;3
1940449903951001;1.656601;0.56022644;9.602066;3
1940449908894849;1.664978;0.54585266;9.566147;3
1940449913838697;1.7032776;0.57818604;9.541016;3
1940449918782544;1.6458282;0.5973358;9.604462;3
1940449923726392;1.4985809;0.59135437;9.560165;3
1940449928670239;1.5668182;0.45367432;9.386581;3
1940449933614087;1.6685638;0.4907837;9.533829;3
1940449938557935;1.6278687;0.59373474;9.67868;3
1940449943501782;1.577591;0.5290985;9.682266;3
1940449948445630;1.6338501;0.48121643;9.651138;3
1940449953358960;1.6134949;0.51353455;9.693039;3
1940449958302808;1.5476685;0.480011;9.727753;3
1940449963246655;1.5512543;0.47402954;9.784027;3
1940449968190503;1.585968;0.51474;9.797195;3
1940449973134351;1.5967407;0.5470581;9.761276;3
1940449978078198;1.6697693;0.5865631;9.713394;3
1940449983022046;1.6913147;0.6069031;9.700226;3
1940449987965894;1.6542053;0.60331726;9.669098;3
1940449992879224;1.6314545;0.5901489;9.65593;3
1940449997823072;1.6338501;0.59135437;9.666702;3
