t;x;y;z;a
254559553304587;8.532935;4.5801077;1.5514427;3
254559558468895;8.528147;4.5681367;1.5753847;3
254559563864356;8.556877;4.560954;1.6089035;3
254559568869279;8.580819;4.5418005;1.661576;3
254559573874202;8.628703;4.5298295;1.6831238;3
254559578879049;8.63828;4.51307;1.7022774;3
254559583853510;8.647857;4.4915223;1.673547;3
254559588858202;8.645462;4.5082817;1.6759412;3
254559593863126;8.643068;4.4915223;1.6304513;3
254559599144279;8.626308;4.5274353;1.5634137;3
254559603872972;8.614338;4.5082817;1.4508862;3
254559608877895;8.595184;4.5274353;1.352724;3
254559613882741;8.59279;4.548983;1.2401965;3
254559618857203;8.578424;4.5753193;1.1324574;3
254559623861895;8.561666;4.5777135;1.0462662;3
254559628866818;8.571242;4.596867;1.0007763;3
254559633871741;8.540117;4.6136265;0.9648633;3
254559639021510;8.499416;4.596867;0.9528923;3
254559643881510;8.48984;4.596867;0.9935937;3
254559648855972;8.449138;4.5872903;1.0175357;3
254559653860664;8.429984;4.572925;1.0702082;3
254559658865587;8.4108305;4.560954;1.1683705;3
254559663870510;8.377312;4.5657425;1.2521675;3
254559668875357;8.365341;4.548983;1.352724;3
254559673880280;8.367735;4.5418005;1.4197617;3
254559679060280;8.341399;4.5178585;1.484405;3
254559683890126;8.319851;4.501099;1.5466543;3
254559688864357;8.279149;4.525041;1.6184803;3
254559693869280;8.248025;4.5394063;1.6136919;3
254559698874203;8.226477;4.5513773;1.5705963;3
254559703879049;8.204929;4.548983;1.5275006;3
254559708853510;8.161834;4.5801077;1.4915876;3
254559713858434;8.118738;4.5872903;1.460463;3
254559718884049;8.080431;4.6255975;1.4053963;3
254559723868049;8.0445175;4.618415;1.400608;3
254559728872972;8.02297;4.642357;1.3958195;3
254559733877818;8.037335;4.663905;1.3623008;3
254559738882741;8.046912;4.6662993;1.3742718;3
254559743856972;8.082825;4.6830587;1.3982137;3
254559748861895;8.123527;4.6926355;1.4101849;3
254559753866818;8.173804;4.699818;1.4748282;3
254559759028357;8.209718;4.7046065;1.5155296;3
254559763876664;8.264784;4.7046065;1.5777789;3
254559768881511;8.281544;4.7261543;1.6256629;3
254559773855972;8.336611;4.7500963;1.6424223;3
254559778860895;8.372523;4.7429137;1.6831238;3
254559783865588;8.396465;4.745308;1.7046716;3
254559788870511;8.418014;4.735731;1.6831238;3
254559793875434;8.413225;4.7381253;1.685518;3
254559799067126;8.422802;4.759673;1.6663644;3
254559803885203;8.403648;4.7548847;1.6400281;3
254559808859434;8.3821;4.759673;1.6065093;3
254559813864357;8.377312;4.7644615;1.5658079;3
254559818869280;8.3821;4.7429137;1.496376;3
254559823874126;8.394072;4.771644;1.4652514;3
254559828879049;8.408437;4.7740383;1.4173675;3
254559833853511;8.429984;4.757279;1.4053963;3
254559838978126;8.444349;4.7668557;1.3694834;3
254559843863126;8.468291;4.7548847;1.3575124;3
254559848868049;8.468291;4.747702;1.3623008;3
