t;x;y;z;a
4698969029440;-1.400608;1.1348516;9.765948;3
4698974584517;-1.4389153;1.1204864;9.782708;3
4698980497133;-1.4508862;1.1252748;9.734824;3
4698984594133;-1.4820108;1.1180922;9.713276;3
4698989599056;-1.5275006;1.1204864;9.672575;3
4698994603979;-1.5394717;1.103727;9.646238;3
4698999578364;-1.5562311;1.0869676;9.588778;3
4699004583287;-1.5610195;1.0773908;9.540894;3
4699009587979;-1.5682021;1.055843;9.514558;3
4699014592902;-1.5394717;1.0414777;9.509769;3
4699019665825;-1.5562311;1.0342951;9.509769;3
4699024602748;-1.5562311;1.0175357;9.536105;3
4699029607594;-1.5466543;1.0007763;9.579201;3
4699034582056;-1.5442601;0.9864111;9.648633;3
4699039586979;-1.5562311;0.9983821;9.674969;3
4699044591902;-1.5825673;0.9672575;9.698911;3
4699049596594;-1.5969325;0.9672575;9.722853;3
4699054601518;-1.6208745;0.9768343;9.720459;3
4699059905825;-1.6184803;0.9864111;9.727641;3
4699064611287;-1.6065093;1.0151415;9.742006;3
4699069585518;-1.5969325;1.0414777;9.742006;3
4699074590441;-1.5801731;1.055843;9.7324295;3
4699079595364;-1.5682021;1.0821792;9.715671;3
4699084600287;-1.5873557;1.0821792;9.682152;3
4699089605133;-1.5969325;1.1061212;9.643845;3
4699094579595;-1.6089035;1.1204864;9.617508;3
4699099842364;-1.5729905;1.1348516;9.564836;3
4699104589210;-1.5490485;1.13964;9.552865;3
4699109594133;-1.5059528;1.1683705;9.531317;3
4699114599056;-1.4652514;1.1803415;9.55047;3
4699119603902;-1.4389153;1.2042835;9.540894;3
4699124578364;-1.4628572;1.2114661;9.507375;3
4699129583056;-1.4796166;1.2162545;9.485827;3
4699134587979;-1.5179238;1.2138603;9.476251;3
4699139774748;-1.520318;1.2234371;9.457097;3
4699144597825;-1.5298948;1.2378023;9.461885;3
4699149602749;-1.5155296;1.2210429;9.471462;3
4699154607595;-1.5370775;1.2282255;9.509769;3
4699159582056;-1.5346833;1.2258313;9.543288;3
4699164586979;-1.5346833;1.2234371;9.586384;3
4699169591672;-1.5562311;1.2018893;9.636662;3
4699174596595;-1.5729905;1.1971009;9.691729;3
4699179767902;-1.5945383;1.1827357;9.765948;3
4699184606441;-1.5993267;1.151611;9.821015;3
4699189580826;-1.6041151;1.1420342;9.864111;3
4699194585749;-1.6112977;1.1324574;9.895236;3
4699199590441;-1.5753847;1.1300632;9.931149;3
4699204595364;-1.5466543;1.13964;9.940725;3
4699209600287;-1.5514427;1.1252748;9.873688;3
4699214605210;-1.5370775;1.1468226;9.837775;3
4699219962133;-1.5275006;1.1587936;9.742006;3
4699224614979;-1.5298948;1.1707647;9.701305;3
4699229589441;-1.5131354;1.163582;9.655815;3
4699234594133;-1.5251064;1.1683705;9.617508;3
4699239599056;-1.532289;1.1923125;9.557653;3
4699244603903;-1.541866;1.2138603;9.507375;3
4699249578364;-1.5634137;1.2138603;9.488221;3
4699254583056;-1.5610195;1.2234371;9.495404;3
4699259755980;-1.541866;1.2186487;9.497798;3
4699264592903;-1.5370775;1.2018893;9.562442;3
4699269597826;-1.5298948;1.1875241;9.615114;3
4699274602672;-1.520318;1.1899183;9.674969;3
4699279607595;-1.5370775;1.1827357;9.730036;3
4699284582057;-1.520318;1.1683705;9.765948;3
4699289586749;-1.532289;1.163582;9.832987;3
4699294591672;-1.5155296;1.1492168;9.880871;3
4699299789749;-1.4820108;1.1252748;9.91439;3
4699304601518;-1.4867992;1.127669;9.91439;3
4699309606441;-1.5155296;1.1133038;9.888053;3
4699314580826;-1.4772224;1.1468226;9.871294;3
4699319585749;-1.4652514;1.163582;9.868899;3
4699324590441;-1.4796166;1.1540052;9.82341;3
4699329595364;-1.4652514;1.1492168;9.77792;3
4699334600287;-1.4915876;1.1611878;9.703699;3
4699339794672;-1.484405;1.1755531;9.67018;3
4699344610057;-1.484405;1.1707647;9.624691;3
4699349584518;-1.4915876;1.1803415;9.624691;3
4699354589211;-1.5155296;1.1899183;9.617508;3
4699359594134;-1.5346833;1.1947067;9.603143;3
4699364599057;-1.5466543;1.2018893;9.615114;3
4699369603980;-1.5394717;1.1827357;9.667787;3
4699374578364;-1.520318;1.1827357;9.7084875;3
4699379827595;-1.5610195;1.1659763;9.770737;3
4699384587980;-1.5777789;1.13964;9.801862;3
4699389592903;-1.5873557;1.1348516;9.830592;3
