t;x;y;z;a
129147348264991;0.9923401;7.05954;6.259674;3
129147353208838;0.59968567;7.178055;6.647537;3
129147358152686;0.15916443;7.4091034;6.825897;3
129147363096534;-0.24905396;7.5838776;6.8893433;3
129147368040381;-0.6081848;7.567108;7.061737;3
129147372984229;-0.7865448;7.447403;7.121582;3
129147377928077;-0.80210876;7.3396606;6.970749;3
129147382871924;-0.68959045;7.3073425;6.562546;3
129147387815772;-0.6153717;7.333679;6.1064453;3
129147392759620;-0.58543396;7.404312;5.59169;3
129147397703467;-0.58543396;7.5874634;5.2253723;3
129147402647315;-0.55192566;7.7969666;5.057785;3
129147407591163;-0.6452942;7.972931;5.1343994;3
129147412535010;-0.87872314;8.043564;5.3211517;3
129147417448340;-1.1432953;8.048355;5.5785217;3
129147422392188;-1.2426453;7.9430084;5.792801;3
129147427366553;-1.0846252;7.9633636;6.00589;3
129147432310401;-1.0211792;8.006454;6.0250397;3
129147437223731;-0.9888611;7.993286;5.9256897;3
129147442167579;-0.8260498;7.9920807;5.6276093;3
129147447111426;-0.6668396;8.056732;5.3726196;3
129147452055274;-0.4896698;8.152496;5.351074;3
129147456999122;-0.45256042;8.276993;5.133209;3
129147461942969;-0.66804504;8.314102;4.729782;3
129147466856299;-0.8763275;8.332062;4.7118225;3
129147471830665;-1.0092163;8.449387;4.8423004;3
129147476743995;-1.1109619;8.575073;4.78125;3
129147481687842;-1.1313171;8.626556;4.7429504;3
129147486631690;-1.1001892;8.578659;5.172714;3
129147491575538;-1.0008392;8.542755;5.500717;3
129147496519385;-0.7925415;8.569092;5.469589;3
129147501463233;-0.60339355;8.551132;5.476776;3
129147506376563;-0.5195923;8.482895;5.9544067;3
129147511350928;-0.51361084;8.446991;6.3171387;3
129147516264258;-0.5770569;8.456558;6.0992584;3
129147521238624;-0.7243042;8.480499;6.0645447;3
129147526151954;-1.0271759;8.502045;6.508667;3
129147531095801;-1.371933;8.558319;6.7277374;3
129147536039649;-1.7178955;8.531982;6.3913574;3
129147540983497;-1.9537201;8.400299;6.1770782;3
129147545927344;-2.0447083;8.322479;6.4787445;3
129147550840674;-2.0925903;8.255447;6.32312;3
129147555784522;-2.1237183;8.262634;6.060959;3
129147560728370;-2.1225128;8.242279;6.0717316;3
129147565672217;-2.0901947;8.189606;6.132782;3
129147570616065;-2.1452637;8.152496;6.1303864;3
129147575559913;-2.0052032;8.093842;6.00708;3
129147580503760;-1.7394409;8.115387;5.8694153;3
129147585447608;-1.7107086;8.199188;5.7676697;3
129147590360938;-1.7801514;8.309311;5.4707794;3
129147595335303;-1.905838;8.4218445;5.290024;3
129147600279151;-1.9441528;8.466141;5.2840424;3
129147605192481;-1.8352051;8.469727;5.51268;3
129147610136329;-1.585022;8.412262;5.658737;3
129147615110694;-1.2653961;8.369171;5.7856293;3
129147620054542;-1.035553;8.351212;5.880188;3
129147624998389;-0.9302063;8.448181;5.900543;3
129147629942237;-0.8823242;8.537964;5.878998;3
129147634855567;-0.76260376;8.649292;5.820343;3
129147639768897;-0.63931274;8.712738;5.7245636;3
129147644712745;-0.54592896;8.810898;5.647949;3
129147649656592;-0.56269836;8.953354;5.6575317;3
129147654600440;-0.688385;8.942581;5.4839478;3
129147659544288;-0.7458496;8.91864;5.4037476;3
129147664488135;-0.68959045;8.919846;5.507889;3
129147669431983;-0.609375;8.965332;5.647949;3
129147674375831;-0.57107544;9.022797;5.863434;3
129147679350196;-0.58303833;9.061096;6.0992584;3
129147684263526;-0.65727234;9.055115;6.294388;3
129147689207374;-0.7925415;9.006027;6.4775543;3
129147694151221;-1.0247803;9.053909;6.520645;3
129147699095069;-1.2809601;9.148483;6.697815;3
129147704038917;-1.450943;9.25383;6.9324493;3
129147708982764;-1.427002;9.294525;7.1634827;3
129147713926612;-1.2079315;9.305313;7.287979;3
129147718839942;-0.9445648;9.294525;7.2891846;3
129147723783790;-0.79133606;9.289749;7.1347504;3
129147728727637;-0.8188782;9.246643;6.7983704;3
129147733671485;-0.9038696;9.233475;6.4871216;3
129147738584815;-0.99365234;9.207138;6.2848206;3
129147743528663;-1.1133575;9.201157;6.077713;3
129147748472510;-1.1899719;9.205948;6.029831;3
129147753446876;-1.1875763;9.101791;6.1674957;3
129147758360206;-1.0942078;8.934204;6.247711;3
129147763304053;-0.96492004;8.851608;6.2465057;3
129147768247901;-0.76620483;8.846817;6.1351776;3
129147773191749;-0.65367126;8.814499;6.021454;3
129147778135596;-0.5004425;8.761826;6.070526;3
129147783079444;-0.28855896;8.7187195;6.0250397;3
129147788023292;-0.12574768;8.685211;5.8023834;3
129147792967139;0.0011444092;8.700775;5.425293;3
129147797880469;0.13162231;8.669647;5.066162;3
129147802824317;0.08015442;8.572678;4.9284973;3
129147807768165;-0.07307434;8.536774;4.9919434;3
129147812712012;-0.15927124;8.486496;5.0685577;3
129147817695441;-0.21434021;8.486496;5.088913;3
129147822639289;-0.29933167;8.435013;5.0757446;3
129147827583136;-0.352005;8.419449;4.9524384;3
129147832526984;-0.4094696;8.402695;4.8063965;3
129147837470832;-0.47650146;8.309311;4.60289;3
129147842384162;-0.43460083;8.156082;4.3957825;3
129147847328009;-0.32806396;8.078278;4.357483;3
129147852271857;-0.114974976;8.033981;4.3119965;3
129147857246222;0.05859375;8.036377;4.167145;3
129147862159552;0.045440674;8.001663;3.9289246;3
129147867103400;-0.12934875;7.9477997;3.6128845;3
129147872047248;-0.14968872;7.8915253;3.3974;3
129147876991095;-0.09223938;7.8556213;3.4057922;3
129147881934943;-0.028793335;7.735901;3.5626068;3
129147886848273;0.040649414;7.628174;3.7038574;3
129147891792121;0.083740234;7.617401;3.7709045;3
129147896735968;0.047821045;7.5802765;3.7313995;3
129147901710333;-0.04434204;7.5323944;3.6835175;3
129147906623664;-0.17362976;7.4881134;3.6918945;3
129147911567511;-0.3711548;7.431839;3.5961304;3
129147916480841;-0.5590973;7.301361;3.5219116;3
129147921424689;-0.63331604;7.1924286;3.2369995;3
129147926399054;-0.4382019;7.0739136;2.9868011;3
129147931342902;-0.16645813;6.992508;2.8455505;3
129147936256232;0.0418396;6.902725;2.7282257;3
129147941230597;0.11126709;6.7614594;2.607315;3
129147946174445;0.071762085;6.660904;2.2960815;3
129147951087775;-0.021606445;6.5328217;1.9620819;3
129147956031623;-0.071884155;6.4933167;1.7813263;3
129147960975470;-0.03956604;6.341278;1.7047119;3
129147965919318;0.01789856;6.2227783;1.6783752;3
129147970863166;0.19387817;6.07193;1.5574646;3
129147975776496;0.42730713;5.9127197;1.4042358;3
129147980750861;0.67630005;5.8085785;1.1899567;3
129147985664191;0.8043976;5.551193;1.0008087;3
129147990608039;0.85346985;5.3141785;0.96369934;3
129147995551886;0.84150696;4.964615;0.792511;3
129148000495734;0.7098236;4.538452;0.76737976;3
129148005439582;0.41893005;4.545639;1.0989685;3
129148010383429;0.35906982;4.4917603;1.5526733;3
129148015296759;0.1902771;4.2511444;1.970459;3
129148020271125;0.095718384;3.8644867;2.0913696;3
129148025214972;0.0047302246;3.474228;2.1799622;3
129148030158820;-0.02998352;3.091156;2.293686;3
129148035102667;0.119659424;2.8529358;2.333191;3
129148040015998;0.2752838;2.7715302;2.2039032;3
129148044990363;0.6236267;2.6973114;2.07341;3
129148049903693;1.0282593;2.6386566;1.8423767;3
129148054878058;1.3766022;2.5847778;1.5478821;3
129148059791388;1.5537872;2.605133;1.3012848;3
129148064735236;1.5741272;2.651825;1.2246704;3
129148069679083;1.548996;2.6494293;1.1899567;3
129148074622931;1.5825043;2.5632324;1.1504517;3
129148079566779;1.6423645;2.4602814;1.1025696;3
129148084510626;1.7453156;2.3872528;1.2893066;3
129148089454474;1.8374939;2.3274078;1.6149292;3
129148094398322;1.7896118;2.2328339;1.8148346;3
129148099342169;1.5082855;2.2747345;1.7717438;3
129148104286017;1.0869141;2.3429718;1.7501984;3
129148109229865;0.6846924;2.4399261;2.0063782;3
129148114143195;0.40455627;2.3944397;2.6204834;3
129148119087042;0.29922485;2.2819214;3.069397;3
129148124030890;0.5326538;2.2244568;3.1927032;3
129148128974738;1.0557861;2.4495087;3.0131378;3
129148133918585;1.2700653;2.7212524;2.8227997;3
129148138831916;0.9241028;2.9032135;2.6121063;3
129148143775763;0.46920776;2.9534912;2.499588;3
129148148719611;0.29922485;3.0253143;2.4780273;3
129148153663458;0.5039215;3.1366425;2.2888947;3
129148158607306;0.74334717;3.316208;1.9129944;3
129148163551154;0.62602234;3.3377533;1.6783752;3
129148168495001;0.30400085;3.2048798;1.8016663;3
129148173438849;-0.031173706;3.26474;2.1105194;3
129148178382697;-0.27897644;3.435913;2.5462646;3
129148183326544;-0.44058228;3.5436554;3.069397;3
129148188239875;-0.5543213;3.5233154;3.8702545;3
129148193183722;-0.37713623;3.4454956;4.7920227;3
129148198127570;-0.064697266;3.4011993;5.7006226;3
129148203071417;0.21661377;3.3712769;6.4583893;3
129148208015265;0.37942505;3.3988037;6.8306885;3
129148212959113;0.48477173;3.577179;6.989914;3
129148217872443;0.42012024;3.7974396;7.015045;3
129148222816291;0.20465088;3.8836365;6.9815216;3
129148227760138;-6.1035156E-5;3.908783;7.121582;3
129148232703986;0.019104004;3.8848267;7.6399384;3
129148237647833;0.029876709;3.814209;8.309113;3
129148242591681;-0.22990417;3.6837158;9.026169;3
129148247535529;-0.8296509;3.7519531;9.698944;3
129148252509894;-1.6173401;3.8201904;10.231659;3
129148257453742;-2.237442;3.7232208;10.887665;3
129148262367072;-2.4648895;3.486206;11.57959;3
129148267310919;-2.2937012;3.3389587;12.124268;3
129148272254767;-1.6580353;3.4694366;12.302643;3
129148277168097;-0.8835144;3.6944885;12.355316;3
129148282142462;-0.39988708;3.834549;12.252365;3
129148287086310;-0.23588562;3.9183502;12.000977;3
129148292030158;-0.37953186;4.1481934;11.680145;3
129148296974005;-0.565094;4.406769;11.416779;3
129148301887335;-0.64289856;4.586334;11.511353;3
129148306800666;-0.66204834;4.605484;11.735214;3
129148311744513;-0.52438354;4.5360565;11.724442;3
129148316688361;-0.35559082;4.5360565;11.558044;3
129148321632208;-0.25982666;4.7443542;11.268341;3
129148326576056;-0.4393921;4.962219;10.887665;3
129148331550421;-0.75901794;5.056793;10.74881;3
129148336494269;-0.8404236;4.995743;11.02533;3
129148341438117;-0.66085815;4.794632;11.550858;3
129148346381964;-0.36636353;4.636612;12.124268;3
129148351325812;-0.12095642;4.6306305;12.741974;3
129148356239142;-0.076675415;4.722809;13.273483;3
129148361182990;-0.10180664;4.835327;13.686493;3
129148366126837;-0.26341248;4.9071503;13.880417;3
129148371070685;-0.4489746;4.933487;14.0013275;3
129148376014533;-0.6405029;5.008911;13.905563;3
129148380927863;-0.8978882;5.1250305;13.621841;3
129148385871710;-1.2749634;5.201645;13.35968;3
129148390815558;-1.7585907;5.254318;13.14061;3
129148395759406;-2.3152466;5.2914276;13.017303;3
129148400672736;-2.7940826;5.360855;12.713242;3
129148405616583;-3.1604004;5.4769745;12.375656;3
129148410560431;-3.2358246;5.755905;12.029694;3
129148415534796;-3.0035858;5.9677887;11.696899;3
129148420478644;-2.944931;6.061157;11.2300415;3
129148425422492;-3.0418854;6.1844635;10.673386;3
129148430335822;-3.1256866;6.458603;10.240036;3
129148435279669;-3.1771698;6.6740723;9.858154;3
129148440223517;-3.4225616;6.759079;9.648666;3
129148445167365;-3.7445831;6.7650604;9.855759;3
129148450111212;-4.0737915;6.794983;10.568039;3
129148455055060;-4.6795197;6.817734;11.360519;3
129148459998908;-5.412155;6.8296967;12.149414;3
129148464942755;-6.056183;6.937439;13.000549;3
129148469856085;-6.466797;7.054764;14.03006;3
