t;x;y;z;a
250842073016058;-1.6256629;0.06943185;9.619903;3
250842078571135;-1.6232687;0.07182605;9.600749;3
250842083575828;-1.6136919;0.055066638;9.583989;3
250842088580751;-1.6256629;0.050278235;9.607931;3
250842093585674;-1.6160861;0.033518825;9.64145;3
250842098590597;-1.6041151;0.02633622;9.65821;3
250842103595520;-1.5705963;0.01436521;9.672575;3
250842108569905;-1.5466543;0.007182605;9.68694;3
250842115489366;-1.5442601;0.007182605;9.696517;3
250842118579751;-1.5227122;-0.009576807;9.698911;3
250842123584443;-1.5298948;-0.011971008;9.689334;3
250842128589366;-1.5562311;-0.038307227;9.727641;3
250842133594289;-1.5394717;-0.04309563;9.703699;3
250842138568674;-1.5586253;-0.050278235;9.715671;3
250842143573597;-1.5705963;-0.045489833;9.703699;3
250842148578289;-1.5969325;-0.047884032;9.703699;3
250842153752058;-1.5969325;-0.079008654;9.737218;3
250842158588135;-1.6376339;-0.045489833;9.768343;3
250842163592982;-1.6136919;-0.06703765;9.787497;3
250842168567443;-1.5849615;-0.076614454;9.8042555;3
250842173572366;-1.5562311;-0.090979666;9.828198;3
250842178577059;-1.5227122;-0.095768064;9.830592;3
250842183581982;-1.5131354;-0.09816227;9.854534;3
250842188586905;-1.4891934;-0.09816227;9.904813;3
250842193852136;-1.5155296;-0.11731588;9.892841;3
250842198596751;-1.5179238;-0.12689269;9.933543;3
250842203571136;-1.553837;-0.11971009;10.06283;3
250842208576059;-1.5801731;-0.10534488;9.945514;3
250842213580751;-1.5251064;-0.12928689;9.883265;3
250842218585674;-1.5011644;-0.12928689;9.904813;3
250842223590597;-1.5370775;-0.08619126;9.928755;3
250842228595520;-1.5753847;-0.055066638;9.945514;3
250842233776751;-1.6280571;-0.062249243;10.060435;3
250842238605289;-1.6663644;-0.059855044;9.938332;3
250842243579520;-1.6639702;-0.055066638;9.859323;3
250842248584443;-1.6927006;-0.050278235;9.8042555;3
250842253589366;-1.5849615;-0.009576807;9.866506;3
250842258594213;-1.5394717;0.0023942017;9.919178;3
250842263568674;-1.5155296;-0.007182605;9.832987;3
250842268573366;-1.5370775;0.011971008;9.763555;3
250842273743520;-1.6017209;0.05267244;9.703699;3
250842278583213;-1.6472107;0.04070143;9.631873;3
250842283588136;-1.6903064;0.06464344;9.61272;3
250842288592982;-1.6879122;0.08619126;9.667787;3
250842293567443;-1.697489;0.074220255;9.600749;3
250842298572367;-1.7238252;0.076614454;9.476251;3
250842303577290;-1.7597382;0.07182605;9.44752;3
250842308581982;-1.8052281;0.08140286;9.414001;3
250842313756136;-1.8507179;0.090979666;9.378088;3
250842318591828;-1.8794483;0.12689269;9.378088;3
250842323566213;-1.910573;0.1364695;9.351752;3
250842328571136;-1.9129672;0.15322891;9.320627;3
250842333576059;-1.9297266;0.14604631;9.260772;3
250842338580751;-1.9393034;0.15562311;9.234436;3
250842343585674;-1.922544;0.15322891;9.423578;3
250842348590597;-1.8794483;0.12210429;9.334992;3
250842353852444;-1.8363527;0.11971009;9.354146;3
250842358600367;-1.8411411;0.1340753;9.239224;3
250842363574828;-1.8507179;0.17477672;9.167398;3
250842368579521;-1.7884687;0.17477672;9.294291;3
250842373584444;-1.7142484;0.15562311;9.363723;3
250842378589367;-1.6783354;0.1412579;9.31105;3
250842383594213;-1.6424223;0.1388637;9.267955;3
250842388568674;-1.6472107;0.14844051;9.279925;3
250842393760367;-1.6280571;0.17238252;9.260772;3
